x
2
9
4
2
0
0
0
0
0
0
0
1
0
5
6
0
0
0
0
0
0
0
0
0
2
11
9
4
0
0
0
0
0
0
0
1
2
1
6
8
0
0
0
0
0
0
0
0
1
0
4
6
1
1
0
0
0
0
0
0
2
6
7
1
0
0
0
0
0
0
0
0
6
21
23
0
1
0
0
0
0
1
0
1
2
12
13
7
0
0
0
0
0
0
0
1
0
1
3
1
2
2
0
0
0
0
3
0
5
1
4
2
1
0
0
0
0
0
1
3
8
8
12
6
1
0
0
0
0
0
0
0
